index,colA
ga,"[0.0, 0.08076612437983154]"
gl,"[0.0, 0.5884389061959155]"
lb,"[0.0, 0.034614053305642094]"
la,"[0.0, 0.7038190838813893]"
lo,"[0.0, 0.04615207107418945]"
tr,"[1.176877812391831, 1.0038075458636206]"
lv,"[0.011538017768547362, 0.034614053305642094]"
lt,"[0.011538017768547362, 0.253836390908042]"
th,"[1.7191646475135571, 1.7422406830506518]"
de,"[0.1846082842967578, 1.176877812391831]"
da,"[0.057690088842736825, 0.16153224875966307]"
qu,"[0.0, 0.10384215991692627]"
el,"[0.10384215991692627, 0.26537440867658935]"
eo,"[0.0, 0.3115264797507788]"
en,"[36.29860389985001, 35.56017076266297]"
zh,"[0.034614053305642094, 1.0961116880119997]"
eu,"[0.023076035537094725, 0.11538017768547365]"
et,"[0.11538017768547365, 0.2307603553709473]"
es,"[15.36863966770509, 13.707165109034266]"
ru,"[0.33460251528787355, 0.33460251528787355]"
rw,"[0.0, 0.13845621322256838]"
ro,"[0.06922810661128419, 0.126918195454021]"
bn,"[0.011538017768547362, 0.034614053305642094]"
be,"[0.0, 0.034614053305642094]"
uk,"[0.04615207107418945, 0.04615207107418945]"
wa,"[0.0, 0.034614053305642094]"
jv,"[0.0, 0.19614630206530517]"
br,"[0.0, 0.11538017768547365]"
bs,"[0.0, 0.023076035537094725]"
ja,"[11.538017768547364, 11.814930194992499]"
oc,"[0.0, 0.10384215991692627]"
und,"[6.807430483442944, 0.0]"
or,"[0.0, 0.011538017768547362]"
xh,"[0.0, 0.04615207107418945]"
ca,"[0.0, 0.2307603553709473]"
cy,"[0.011538017768547362, 0.126918195454021]"
cs,"[0.08076612437983154, 0.13845621322256838]"
ps,"[0.0, 0.06922810661128419]"
pt,"[9.8419291565709, 7.684319833852545]"
tl,"[0.7730471904926733, 0.35767855082496824]"
pl,"[0.10384215991692627, 0.6576670128071997]"
hy,"[0.0, 0.04615207107418945]"
hr,"[0.0, 0.011538017768547362]"
ht,"[0.253836390908042, 0.023076035537094725]"
hu,"[0.023076035537094725, 0.13845621322256838]"
hi,"[0.04615207107418945, 0.04615207107418945]"
an,"[0.0, 0.27691242644513675]"
he,"[0.0, 0.16153224875966307]"
mg,"[0.0, 0.0923041421483789]"
ml,"[0.0, 0.034614053305642094]"
mk,"[0.0, 0.023076035537094725]"
ur,"[0.011538017768547362, 0.32306449751932614]"
mt,"[0.0, 0.3115264797507788]"
ms,"[0.0, 0.5653628706588208]"
ug,"[0.0, 0.04615207107418945]"
af,"[0.0, 0.10384215991692627]"
vi,"[0.011538017768547362, 0.06922810661128419]"
is,"[0.023076035537094725, 0.057690088842736825]"
am,"[0.0, 0.27691242644513675]"
it,"[0.33460251528787355, 1.04995961693781]"
iw,"[0.011538017768547362, 0.0]"
vo,"[0.0, 0.011538017768547362]"
ar,"[9.345794392523365, 9.045805930541134]"
in,"[1.3153340256143995, 0.0]"
az,"[0.0, 0.0923041421483789]"
id,"[0.0, 0.634590977270105]"
nl,"[0.10384215991692627, 0.42690665743625245]"
nn,"[0.0, 0.023076035537094725]"
no,"[0.04615207107418945, 0.253836390908042]"
nb,"[0.0, 0.011538017768547362]"
ne,"[0.034614053305642094, 0.034614053305642094]"
zu,"[0.0, 0.011538017768547362]"
fr,"[0.9576554747894311, 1.453790238836968]"
sv,"[0.034614053305642094, 0.14999423099111572]"
fa,"[0.04615207107418945, 0.33460251528787355]"
fi,"[0.023076035537094725, 0.5307488173531787]"
ka,"[0.0, 0.04615207107418945]"
kk,"[0.0, 0.011538017768547362]"
sr,"[0.0, 0.011538017768547362]"
sq,"[0.0, 0.057690088842736825]"
ko,"[2.642206068997346, 2.815276335525557]"
kn,"[0.0, 0.011538017768547362]"
km,"[0.0, 0.16153224875966307]"
sk,"[0.0, 0.0923041421483789]"
si,"[0.0, 0.04615207107418945]"
ku,"[0.0, 0.04615207107418945]"
sl,"[0.011538017768547362, 0.253836390908042]"
sw,"[0.0, 0.17307026652821045]"
se,"[0.0, 0.057690088842736825]"
