index,colA
ga,"[0.0, 0.07]"
gl,"[0.0, 0.51]"
lb,"[0.0, 0.03]"
la,"[0.0, 0.61]"
lo,"[0.0, 0.04]"
tr,"[1.176877812391831, 0.87]"
lv,"[0.011538017768547362, 0.03]"
lt,"[0.011538017768547362, 0.22]"
th,"[1.7191646475135571, 1.51]"
de,"[0.1846082842967578, 1.02]"
da,"[0.057690088842736825, 0.14]"
qu,"[0.0, 0.09]"
el,"[0.10384215991692627, 0.23]"
eo,"[0.0, 0.27]"
en,"[36.29860389985001, 30.82]"
zh,"[0.034614053305642094, 0.95]"
eu,"[0.023076035537094725, 0.1]"
et,"[0.11538017768547365, 0.2]"
es,"[15.36863966770509, 11.88]"
ru,"[0.33460251528787355, 0.29]"
rw,"[0.0, 0.12]"
ro,"[0.06922810661128419, 0.11]"
bn,"[0.011538017768547362, 0.03]"
be,"[0.0, 0.03]"
uk,"[0.04615207107418945, 0.04]"
wa,"[0.0, 0.03]"
jv,"[0.0, 0.17]"
br,"[0.0, 0.1]"
bs,"[0.0, 0.02]"
ja,"[11.538017768547364, 10.24]"
oc,"[0.0, 0.09]"
und,"[6.807430483442944, 0.0]"
or,"[0.0, 0.01]"
xh,"[0.0, 0.04]"
ca,"[0.0, 0.2]"
cy,"[0.011538017768547362, 0.11]"
cs,"[0.08076612437983154, 0.12]"
ps,"[0.0, 0.06]"
pt,"[9.8419291565709, 6.66]"
tl,"[0.7730471904926733, 0.31]"
pl,"[0.10384215991692627, 0.57]"
hy,"[0.0, 0.04]"
hr,"[0.0, 0.01]"
ht,"[0.253836390908042, 0.02]"
hu,"[0.023076035537094725, 0.12]"
hi,"[0.04615207107418945, 0.04]"
an,"[0.0, 0.24]"
he,"[0.0, 0.14]"
mg,"[0.0, 0.08]"
ml,"[0.0, 0.03]"
mk,"[0.0, 0.02]"
ur,"[0.011538017768547362, 0.28]"
mt,"[0.0, 0.27]"
ms,"[0.0, 0.49]"
ug,"[0.0, 0.04]"
af,"[0.0, 0.09]"
vi,"[0.011538017768547362, 0.06]"
is,"[0.023076035537094725, 0.05]"
am,"[0.0, 0.24]"
it,"[0.33460251528787355, 0.91]"
iw,"[0.011538017768547362, 0.0]"
vo,"[0.0, 0.01]"
ar,"[9.345794392523365, 7.84]"
in,"[1.3153340256143995, 0.0]"
az,"[0.0, 0.08]"
id,"[0.0, 0.55]"
nl,"[0.10384215991692627, 0.37]"
nn,"[0.0, 0.02]"
no,"[0.04615207107418945, 0.22]"
nb,"[0.0, 0.01]"
ne,"[0.034614053305642094, 0.03]"
zu,"[0.0, 0.01]"
fr,"[0.9576554747894311, 1.26]"
sv,"[0.034614053305642094, 0.13]"
fa,"[0.04615207107418945, 0.29]"
fi,"[0.023076035537094725, 0.46]"
ka,"[0.0, 0.04]"
kk,"[0.0, 0.01]"
sr,"[0.0, 0.01]"
sq,"[0.0, 0.05]"
ko,"[2.642206068997346, 2.44]"
kn,"[0.0, 0.01]"
km,"[0.0, 0.14]"
sk,"[0.0, 0.08]"
si,"[0.0, 0.04]"
ku,"[0.0, 0.04]"
sl,"[0.011538017768547362, 0.22]"
sw,"[0.0, 0.15]"
se,"[0.0, 0.05]"
